0,1,2,3,4,5,6
Event,Run Date,Run Number,Pos,`Time,Age Grade,PB?
Downsview,16/11/2024,163,12,`20:13,63.81%,Â
Downsview,09/11/2024,162,4,`20:01,64.45%,"PB
                                    
                                    Â"
Downsview,02/11/2024,161,7,`20:05,64.23%,"PB
                                    
                                    Â"
Downsview,24/08/2024,152,19,`23:52,54.05%,Â
Downsview,10/08/2024,151,21,`23:43,54.39%,Â
Downsview,27/07/2024,150,7,`21:41,59.49%,Â
Downsview,20/07/2024,149,8,`21:16,60.66%,Â
Cabinteely,22/06/2024,394,22,`22:49,56.54%,Â
Cabinteely,15/06/2024,393,13,`22:36,57.08%,"PB
                                    
                                    Â"
Marlay,08/06/2024,469,23,`20:48,62.02%,Â
Achill Greenway,25/05/2024,124,2,`21:33,59.86%,Â
Marlay,11/05/2024,465,54,`22:44,56.74%,Â
Marlay,04/05/2024,464,27,`20:54,61.72%,Â
Marlay,20/04/2024,462,22,`20:20,63.44%,"PB
                                    
                                    Â"
Marlay,13/04/2024,461,50,`22:13,58.06%,Â
Marlay,06/04/2024,460,301,`32:25,39.79%,Â
Marlay,23/03/2024,458,49,`22:13,58.06%,Â
Marlay,16/03/2024,457,104,`24:32,52.58%,Â
Marlay,09/03/2024,456,33,`21:10,60.94%,Â
Marlay,24/02/2024,455,133,`24:52,51.88%,Â
"Bushy, Dublin",17/02/2024,279,16,`23:03,55.97%,Â
Marlay,27/01/2024,451,178,`25:58,49.68%,Â
Marlay,20/01/2024,450,84,`23:08,55.76%,Â
Marlay,13/01/2024,449,263,`26:42,48.31%,Â
Marlay,06/01/2024,448,232,`26:49,48.10%,Â
Cabinteely,10/09/2022,304,12,`22:38,57.00%,Â
Marlay,06/08/2022,384,63,`23:31,54.85%,Â
Marlay,30/07/2022,383,30,`21:42,59.45%,Â
Marlay,23/07/2022,382,43,`22:30,57.33%,Â
Marlay,16/07/2022,381,61,`23:23,55.17%,Â
Marlay,04/06/2022,378,176,`26:33,48.59%,Â
Marlay,09/04/2022,370,34,`22:02,58.55%,Â
Marlay,02/04/2022,369,74,`23:47,54.24%,Â
Marlay,12/03/2022,366,64,`22:22,57.68%,Â
Marlay,05/03/2022,365,143,`25:29,50.62%,Â
Marlay,16/09/2017,225,41,`21:38,60.94%,Â
Marlay,19/08/2017,221,59,`22:24,58.85%,Â
Marlay,14/06/2014,66,38,`20:37,66.45%,"PB
                                    
                                    Â"
Marlay,07/06/2014,65,62,`21:06,64.93%,"PB
                                    
                                    Â"
Marlay,31/05/2014,64,83,`21:55,62.51%,"PB
                                    
                                    Â"
Marlay,24/05/2014,63,92,`22:53,59.87%,"PB
                                    
                                    Â"
Marlay,17/05/2014,62,131,`23:15,58.92%,"PB
                                    
                                    Â"
Marlay,16/03/2013,2,89,`23:51,58.35%,Â
